Exercise,Group,Secondary Groups,Weights,Stability Ball,Machine
Dumbbell Row,BACK,,y,,
Deadlift with Standing Row,BACK,,y,,
Dumbbell Fly,BACK,,y,,
Wide arm row,BACK,,,,
Alternating Plank Row,BACK,,y,,
Stability Ball Dumbbell Fly,BACK,,,y,
Stability Ball Back Extension,BACK,,,y,
Curl,BICEPS,,,,
Calf Raises,LEGS,,,,
Lying Chest Fly,CHEST,,,,
Dumbbell Pullover,CHEST,BICEPS,,,
Pushup,CHEST,,,,
Dumbbell Bench Press,CHEST,,y,,
Leg Criss-Cross,CORE,,,,
Planks,CORE,,,,
Seated Russian Twist,CORE,,y,,
Plank and Strait Arm Kickback,CORE,TRICEPS,y,,
Bicycle Crunch,CORE,,,,
Mountain Climber,CORE,,,,
Twisted Mountain Climber,CORE,,,,
Grab and Pass (Exercise Ball),CORE,,,y,
Plank with Row,CORE,,y,,
Dumbbell Side Bend,CORE,,y,,
Bridge,CORE,,,,
Stability Ball Tummy Tuck,CORE,,,y,
Stability Ball Pendulum,CORE,,,y,
Stability Ball Butt Blaster,CORE,,,y,
Windshield Wiper,CORE,,,y,
V-UP,CORE,,,,
Reverse Crunch,CORE,,,,
Lying Leg Lift,CORE,,,,
Flutter Kicks,CORE,,,,
Lunge and Rotation,CORE,,,,
T Push Up,CORE,,,,
Alternating Crossover,CORE,,,,
Jackknife,CORE,,,,
Overhead Side Bend,CORE,,,,
Side Planks,CORE ,,,,
Lunge,HAMSTRING,,,,
Deadlift,HAMSTRING,,,,
Stability Ball Hamstring Curl,HAMSTRING,,,y,
Squat,LEGS,,,,
Squat + Curl,LEGS,BICEPS,y,,
Step Up,LEGS,,,,
Step Up w/ weights,LEGS,,y,,
Side Lunge,LEGS,,,,
Side Lunge with Bicep Curl,LEGS,BICEPS,y,,
Bulgarian Split Squat,LEGS,,,,
Stability Ball Wall Squats,LEGS,,,y,
Single Leg Deadlift,LEGS,,,,
Jump Squat,LEGS,,,,
Wall Sit,QUADRICEPS,,,,
One-legged Squat,QUADRICEPS,,,,
Reverse Fly,SHOULDER,,y,,
Barbell Front Raise,SHOULDER,,y,,
Side Lateral Raise,SHOULDER,,y,,
Scarecrow,SHOULDERS,,y,,
Tricep Kickback,TRICEPS,,y,,
Tricep Dip,TRICEPS,,,,
Overhead Barbell Extension,TRICEPS,,y,,
Stability Ball Tricep Extension,TRICEPS,,,y,
Leg Curls,HAMSTRING,,,,y
Leg Extensions,QUADRICEPS,,,,y
Leg Press,LEGS,,,,y
Weighted Calf Raises (Machine),LEGS,,,,y
Chin Ups,BICEPS,,,,y
Seated Cable Row,BACK,,,,y
Dips,CHEST,,,,y
